year,date,circuitId
2015,2015-07-26,11
2015,2015-08-23,13
2015,2015-09-06,14
2015,2015-09-20,15
2015,2015-09-27,22
2015,2015-10-11,71
2015,2015-10-25,69
2015,2015-11-01,32
2015,2015-11-15,18
2015,2015-11-29,24
2016,2016-03-20,1
2016,2016-04-03,3
2016,2016-04-17,17
2016,2016-05-01,71
2016,2016-05-15,4
2016,2016-05-29,6
2016,2016-06-12,7
2016,2016-06-19,73
2016,2016-07-03,70
2016,2016-07-10,9
2016,2016-07-24,11
2016,2016-07-31,10
2016,2016-08-28,13
2016,2016-09-04,14
2016,2016-09-18,15
2016,2016-10-02,2
2016,2016-10-09,22
2016,2016-10-23,69
2016,2016-10-30,32
2016,2016-11-13,18
2016,2016-11-27,24
2017,2017-03-26,1
2017,2017-04-09,17
2017,2017-04-16,3
2017,2017-04-30,71
2017,2017-05-14,4
2017,2017-05-28,6
2017,2017-06-11,7
2017,2017-06-25,73
2017,2017-07-09,70
2017,2017-07-16,9
2017,2017-07-30,11
2017,2017-08-27,13
2017,2017-09-03,14
2017,2017-09-17,15
2017,2017-10-01,2
2017,2017-10-08,22
2017,2017-10-22,69
2017,2017-10-29,32
2017,2017-11-12,18
2017,2017-11-26,24
2018,2018-03-25,1
2018,2018-04-08,3
2018,2018-04-15,17
2018,2018-04-29,73
2018,2018-05-13,4
2018,2018-05-27,6
2018,2018-06-10,7
2018,2018-06-24,34
2018,2018-07-01,70
2018,2018-07-08,9
2018,2018-07-22,10
2018,2018-07-29,11
2018,2018-08-26,13
2018,2018-09-02,14
2018,2018-09-16,15
2018,2018-09-30,71
2018,2018-10-07,22
2018,2018-10-21,69
2018,2018-10-28,32
2018,2018-11-11,18
2018,2018-11-25,24
2019,2019-03-17,1
2019,2019-03-31,3
2019,2019-04-14,17
2019,2019-04-28,73
2019,2019-05-12,4
2019,2019-05-26,6
2019,2019-06-09,7
2019,2019-06-23,34
2019,2019-06-30,70
2019,2019-07-14,9
2019,2019-07-28,10
2019,2019-08-04,11
2019,2019-09-01,13
2019,2019-09-08,14
2019,2019-09-22,15
2019,2019-09-29,71
2019,2019-10-13,22
2019,2019-10-27,32
2019,2019-11-03,69
2019,2019-11-17,18
2019,2019-12-01,24
2020,2020-07-05,70
2020,2020-07-12,70
2020,2020-07-19,11
2020,2020-08-02,9
2020,2020-08-09,9
2020,2020-08-16,4
2020,2020-08-30,13
2020,2020-09-06,14
2020,2020-09-13,76
2020,2020-09-27,71
2020,2020-10-11,20
2020,2020-10-25,75
2020,2020-11-01,21
2020,2020-11-15,5
2020,2020-11-29,3
2020,2020-12-06,3
2020,2020-12-13,24
2021,2021-03-28,3
2021,2021-04-18,21
2021,2021-05-02,75
2021,2021-05-09,4
2021,2021-05-23,6
2021,2021-06-06,73
2021,2021-06-20,34
2021,2021-06-27,70
2021,2021-07-04,70
2021,2021-07-18,9
2021,2021-08-01,11
2021,2021-08-29,13
2021,2021-09-05,39
2021,2021-09-12,14
2021,2021-09-26,71
2021,2021-10-10,5
2021,2021-10-24,69
2021,2021-11-07,32
2021,2021-11-14,18
2021,2021-11-21,78
2021,2021-12-05,77
2021,2021-12-12,24
2022,2022-03-20,3
2022,2022-03-27,77
2022,2022-04-10,1
2022,2022-04-24,21
2022,2022-05-08,79
2022,2022-05-22,4
2022,2022-05-29,6
2022,2022-06-12,73
2022,2022-06-19,7
2022,2022-07-03,9
2022,2022-07-10,70
2022,2022-07-24,34
2022,2022-07-31,11
2022,2022-08-28,13
2022,2022-09-04,39
2022,2022-09-11,14
2022,2022-10-02,15
2022,2022-10-09,22
2022,2022-10-23,69
2022,2022-10-30,32
2022,2022-11-13,18
2022,2022-11-20,24
2023,2023-03-05,3
2023,2023-03-19,77
2023,2023-04-02,1
2023,2023-04-30,73
2023,2023-05-07,79
2023,2023-05-28,6
2023,2023-06-04,4
2023,2023-06-18,7
2023,2023-07-02,70
2023,2023-07-09,9
2023,2023-07-23,11
2023,2023-07-30,13
2023,2023-08-27,39
2023,2023-09-03,14
2023,2023-09-17,15
2023,2023-09-24,22
2023,2023-10-08,78
2023,2023-10-22,69
2023,2023-10-29,32
2023,2023-11-05,18
2023,2023-11-19,80
2023,2023-11-26,24
2024,2024-03-02,3
2024,2024-03-09,77
2024,2024-03-24,1
2024,2024-04-07,22
2024,2024-04-21,17
2024,2024-05-05,79
2024,2024-05-19,21
2024,2024-05-26,6
2024,2024-06-09,7
2024,2024-06-23,4
2024,2024-06-30,70
2024,2024-07-07,9
